,AA,CC,Id,Ti,Y,authors,error,json,logprob,paper
0,"[{'AfId': 149899117, 'AuN': 'krikamol muandet', 'AfN': 'max planck society', 'AuId': 2093953614}, {'AfId': 36258959, 'AuN': 'bharath k sriperumbudur', 'AfN': 'university of california san diego', 'AuId': 289005672}, {'AfId': 149899117, 'AuN': 'bernhard scholkopf', 'AfN': 'max planck society', 'AuId': 297432538}]",5.0,2127166906.0,kernel mean estimation via spectral filtering,2014.0,"['Krikamol Muandet', 'Bharath Sriperumbudur', 'Bernhard Schölkopf']",,,-20.513,Kernel Mean Estimation via Spectral Filtering
1,"[{'AfId': 98677209, 'AuN': 'yichuan zhang', 'AfN': 'university of edinburgh', 'AuId': 2158736752}, {'AfId': 98677209, 'AuN': 'charles a sutton', 'AfN': 'university of edinburgh', 'AuId': 2113665458}]",2.0,2126008947.0,semi separable hamiltonian monte carlo for inference in bayesian hierarchical models,2014.0,"['Yichuan Zhang', 'Charles Sutton']",,,-21.434,Semi-Separable Hamiltonian Monte Carlo for Inference in Bayesian Hierarchical Models
2,"[{'AfId': 74973139, 'AuN': 'mu li', 'AfN': 'carnegie mellon university', 'AuId': 2658285018}, {'AfId': 74973139, 'AuN': 'david g andersen', 'AfN': 'carnegie mellon university', 'AuId': 2130397481}, {'AfId': 74973139, 'AuN': 'alexander j smola', 'AfN': 'carnegie mellon university', 'AuId': 1972291593}, {'AfId': 98301712, 'AuN': 'kai yu', 'AfN': 'baidu', 'AuId': 2159960587}]",110.0,2127941149.0,communication efficient distributed machine learning with the parameter server,2014.0,"['Mu Li', 'David G. Andersen', 'Alexander J. Smola', 'Kai Yu']",,,-18.651,Communication Efficient Distributed Machine Learning with the Parameter Server
3,"[{'AfId': 55769427, 'AuN': 'halid ziya yerebakan', 'AfN': 'indiana university purdue university indianapolis', 'AuId': 2094180671}, {'AfId': 219193219, 'AuN': 'bartek rajwa', 'AfN': 'purdue university', 'AuId': 2011395205}, {'AfId': 55769427, 'AuN': 'murat dundar', 'AfN': 'indiana university purdue university indianapolis', 'AuId': 2104557900}]",7.0,2120432176.0,the infinite mixture of infinite gaussian mixtures,2014.0,"['Halid Z. Yerebakan', 'Bartek Rajwa', 'Murat Dundar']",,,-20.489,The Infinite Mixture of Infinite Gaussian Mixtures
4,"[{'AfId': 39422238, 'AuN': 'anqi liu', 'AfN': 'university of illinois at chicago', 'AuId': 2147561996}, {'AfId': 39422238, 'AuN': 'brian d ziebart', 'AfN': 'university of illinois at chicago', 'AuId': 217392467}]",16.0,2108018401.0,robust classification under sample selection bias,2014.0,"['Anqi Liu', 'Brian Ziebart']",,,-20.104,Robust Classification Under Sample Selection Bias
5,"[{'AfId': 177725633, 'AuN': 'yuanjun xiong', 'AfN': 'the chinese university of hong kong', 'AuId': 2787457288}, {'AfId': 1341412227, 'AuN': 'wei liu', 'AfN': 'ibm', 'AuId': 2182080890}, {'AfId': 2724335451, 'AuN': 'deli zhao', 'AfN': 'htc', 'AuId': 2139968061}, {'AfId': 177725633, 'AuN': 'xiaoou tang', 'AfN': 'the chinese university of hong kong', 'AuId': 2166284823}]",1.0,2160148532.0,zeta hull pursuits learning nonconvex data hulls,2014.0,"['Yuanjun Xiong', 'Wei Liu', 'Deli Zhao', 'Xiaoou Tang']",,,-21.015,Zeta Hull Pursuits: Learning Nonconvex Data Hulls
6,"[{'AfId': 95457486, 'AuN': 'katerina fragkiadaki', 'AfN': 'university of california berkeley', 'AuId': 1128290216}, {'AfId': 255234318, 'AuN': 'marta salas', 'AfN': 'university of zaragoza', 'AuId': 2112433509}, {'AfId': 162096671, 'AuN': 'pablo arbelaez', 'AfN': 'university of los andes', 'AuId': 2094834365}, {'AfId': 95457486, 'AuN': 'jitendra malik', 'AfN': 'university of california berkeley', 'AuId': 2136556746}]",20.0,2151175804.0,grouping based low rank trajectory completion and 3d reconstruction,2014.0,"['Katerina Fragkiadaki', 'Marta Salas', 'Pablo Arbelaez', 'Jitendra Malik']",,,-19.534,Grouping-Based Low-Rank Trajectory Completion and 3D Reconstruction
7,"[{'AfId': 68265846, 'AuN': 'ferran diego andilla', 'AfN': 'interdisciplinary center for scientific computing', 'AuId': 77148023}, {'AfId': 68265846, 'AuN': 'fred a hamprecht', 'AfN': 'interdisciplinary center for scientific computing', 'AuId': 221631529}]",12.0,2157774966.0,sparse space time deconvolution for calcium image analysis,2014.0,"['Ferran Diego Andilla', 'Fred A. Hamprecht']",,,-20.308,Sparse Space-Time Deconvolution for Calcium Image Analysis
8,"[{'AfId': 1341412227, 'AuN': 'takayuki osogami', 'AfN': 'ibm', 'AuId': 2779770396}, {'AfId': 1341412227, 'AuN': 'makoto otsuka', 'AfN': 'ibm', 'AuId': 2497190532}]",12.0,2149367297.0,restricted boltzmann machines modeling human choice,2014.0,"['Takayuki Osogami', 'Makoto Otsuka']",,,-20.541,Restricted Boltzmann machines modeling human choice
9,"[{'AfId': 27804330, 'AuN': 'pedro f felzenszwalb', 'AfN': 'brown university', 'AuId': 155174508}, {'AfId': 27804330, 'AuN': 'john oberlin', 'AfN': 'brown university', 'AuId': 2027513471}]",2.0,2113940200.0,multiscale fields of patterns,2014.0,"['Pedro Felzenszwalb', 'John G. Oberlin']",,,-21.109,Multiscale Fields of Patterns
10,"[{'AfId': 79576946, 'AuN': 'yichao lu', 'AfN': 'university of pennsylvania', 'AuId': 2103426636}, {'AfId': 1325784139, 'AuN': 'dean p foster', 'AfN': 'yahoo', 'AuId': 2140989583}]",25.0,2126706529.0,large scale canonical correlation analysis with iterative least squares,2014.0,"['Yichao Lu', 'Dean P. Foster']",,,-19.822,large scale canonical correlation analysis with iterative least squares
11,"[{'AfId': 97018004, 'AuN': 'stefan wager', 'AfN': 'stanford university', 'AuId': 1375400056}, {'AfId': 97018004, 'AuN': 'william fithian', 'AfN': 'stanford university', 'AuId': 2257449696}, {'AfId': 97018004, 'AuN': 'sida wang', 'AfN': 'stanford university', 'AuId': 2705266553}, {'AfId': 97018004, 'AuN': 'percy liang', 'AfN': 'stanford university', 'AuId': 2171686691}]",18.0,2144459111.0,altitude training strong bounds for single layer dropout,2014.0,"['Stefan Wager', 'William Fithian', 'Sida Wang', 'Percy S. Liang']",,,-20.01,Altitude Training: Strong Bounds for Single-Layer Dropout
12,"[{'AfId': 216852786, 'AuN': 'm pawan kumar', 'AfN': 'ecole centrale paris', 'AuId': 2125177178}]",6.0,2120339839.0,rounding based moves for metric labeling,2014.0,['M. Pawan Kumar'],,,-21.132,Rounding-based Moves for Metric Labeling
13,"[{'AfId': 95457486, 'AuN': 'xinghao pan', 'AfN': 'university of california berkeley', 'AuId': 2159742009}, {'AfId': 95457486, 'AuN': 'stefanie jegelka', 'AfN': 'university of california berkeley', 'AuId': 1987539784}, {'AfId': 95457486, 'AuN': 'joseph e gonzalez', 'AfN': 'university of california berkeley', 'AuId': 2252171364}, {'AfId': 95457486, 'AuN': 'joseph k bradley', 'AfN': 'university of california berkeley', 'AuId': 2150527135}, {'AfId': 95457486, 'AuN': 'michael i jordan', 'AfN': 'university of california berkeley', 'AuId': 2435751034}]",10.0,2134526660.0,parallel double greedy submodular maximization,2014.0,"['Xinghao Pan', 'Stefanie Jegelka', 'Joseph E. Gonzalez', 'Joseph K. Bradley', 'Michael I. Jordan']",,,-19.766,Parallel Double Greedy Submodular Maximization
14,"[{'AfId': 20089843, 'AuN': 'han liu', 'AfN': 'princeton university', 'AuId': 2614350313}, {'AfId': 63966007, 'AuN': 'lie wang', 'AfN': 'massachusetts institute of technology', 'AuId': 2126281745}, {'AfId': 145311948, 'AuN': 'tuo zhao', 'AfN': 'johns hopkins university', 'AuId': 2306900094}]",15.0,2105410888.0,multivariate regression with calibration,2014.0,"['Han Liu', 'Lie Wang', 'Tuo Zhao']",,,-20.241,Multivariate Regression with Calibration
15,"[{'AfId': 97018004, 'AuN': 'jason d lee', 'AfN': 'stanford university', 'AuId': 2239320619}, {'AfId': 97018004, 'AuN': 'jonathan taylor', 'AfN': 'stanford university', 'AuId': 2161010623}]",52.0,2164275109.0,exact post model selection inference for marginal screening,2014.0,"['Jason D. Lee', 'Jonathan E. Taylor']",,,-19.222,Exact Post Model Selection Inference for Marginal Screening
16,"[{'AfId': 157725225, 'AuN': 'yingzhen yang', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2163669391}, {'AfId': 157725225, 'AuN': 'feng liang', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2163850232}, {'AfId': 165932596, 'AuN': 'shuicheng yan', 'AfN': 'national university of singapore', 'AuId': 2144833106}, {'AfId': 157725225, 'AuN': 'zhangyang wang', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2574108784}, {'AfId': 157725225, 'AuN': 'thomas s huang', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2149631809}]",1.0,2125028849.0,on a theory of nonparametric pairwise similarity for clustering connecting clustering to classification,2014.0,"['Yingzhen Yang', 'Feng Liang', 'Shuicheng Yan', 'Zhangyang Wang', 'Thomas S. Huang']",,,-20.109,On a Theory of Nonparametric Pairwise Similarity for Clustering: Connecting Clustering to Classification
17,"[{'AfId': 1290206253, 'AuN': 's m ali eslami', 'AfN': 'microsoft', 'AuId': 2131352862}, {'AfId': 1290206253, 'AuN': 'daniel tarlow', 'AfN': 'microsoft', 'AuId': 2008730852}, {'AfId': 1290206253, 'AuN': 'pushmeet kohli', 'AfN': 'microsoft', 'AuId': 2141745054}, {'AfId': 1290206253, 'AuN': 'john winn', 'AfN': 'microsoft', 'AuId': 2140907548}]",3.0,2157402460.0,just in time learning for fast and flexible inference,2014.0,"['S. M. Ali Eslami', 'Daniel Tarlow', 'Pushmeet Kohli', 'John Winn']",,,-21.01,Just-In-Time Learning for Fast and Flexible Inference
18,"[{'AfId': 53964585, 'AuN': 'ohad shamir', 'AfN': 'weizmann institute of science', 'AuId': 2073631992}]",25.0,2101790310.0,fundamental limits of online and distributed algorithms for statistical learning and estimation,2014.0,['Ohad Shamir'],,,-19.619,Fundamental Limits of Online and Distributed Algorithms for Statistical Learning and Estimation
19,"[{'AfId': 35440088, 'AuN': 'danfeng qin', 'AfN': 'eth zurich', 'AuId': 2009771196}, {'AfId': 62916508, 'AuN': 'xuanli chen', 'AfN': 'technische universitat munchen', 'AuId': 2115129297}, {'AfId': 35440088, 'AuN': 'matthieu guillaumin', 'AfN': 'eth zurich', 'AuId': 2116821810}, {'AfId': 35440088, 'AuN': 'luc van gool', 'AfN': 'eth zurich', 'AuId': 2103920730}]",6.0,2161390063.0,quantized kernel learning for feature matching,2014.0,"['Danfeng Qin', 'Xuanli Chen', 'Matthieu Guillaumin', 'Luc V. Gool']",,,-20.456,Quantized Kernel Learning for Feature Matching
20,"[{'AfId': 130238516, 'AuN': 'huahua wang', 'AfN': 'university of minnesota', 'AuId': 2143868435}, {'AfId': 130238516, 'AuN': 'arindam banerjee', 'AfN': 'university of minnesota', 'AuId': 2037585042}, {'AfId': 130238516, 'AuN': 'zhiquan luo', 'AfN': 'university of minnesota', 'AuId': 2139264683}]",20.0,2146574528.0,parallel direction method of multipliers,2014.0,"['Huahua Wang', 'Arindam Banerjee', 'Zhi-Quan Luo']",,,-20.187,Parallel Direction Method of Multipliers
21,"[{'AfId': 118347636, 'AuN': 'giorgio patrini', 'AfN': 'australian national university', 'AuId': 2006537033}, {'AfId': 118347636, 'AuN': 'richard nock', 'AfN': 'australian national university', 'AuId': 1964890520}, {'AfId': 31746571, 'AuN': 'tiberio s caetano', 'AfN': 'university of new south wales', 'AuId': 2573626815}, {'AfId': 118347636, 'AuN': 'paul rivera', 'AfN': 'australian national university', 'AuId': 2761235844}]",29.0,2114396536.0,almost no label no cry,2014.0,"['Giorgio Patrini', 'Richard Nock', 'Paul Rivera', 'Tiberio Caetano']",,,-19.669,(Almost) No Label No Cry
22,"[{'AfId': 78577930, 'AuN': 'omar besbes', 'AfN': 'columbia university', 'AuId': 2080374953}, {'AfId': 97018004, 'AuN': 'yonatan gur', 'AfN': 'stanford university', 'AuId': 1992032596}, {'AfId': 78577930, 'AuN': 'assaf zeevi', 'AfN': 'columbia university', 'AuId': 2340788424}]",15.0,2149660380.0,stochastic multi armed bandit problem with non stationary rewards,2014.0,"['Omar Besbes', 'Yonatan Gur', 'Assaf Zeevi']",,,-19.964,Stochastic Multi-Armed-Bandit Problem with Non-stationary Rewards
23,"[{'AfId': 123900574, 'AuN': 'jan feyereisl', 'AfN': 'pohang university of science and technology', 'AuId': 720022788}, {'AfId': 123900574, 'AuN': 'suha kwak', 'AfN': 'pohang university of science and technology', 'AuId': 2168666134}, {'AfId': 123900574, 'AuN': 'jeany son', 'AfN': 'pohang university of science and technology', 'AuId': 2145290414}, {'AfId': 123900574, 'AuN': 'bohyung han', 'AfN': 'pohang university of science and technology', 'AuId': 2114374559}]",13.0,2138580951.0,object localization based on structural svm using privileged information,2014.0,"['Jan Feyereisl', 'Suha Kwak', 'Jeany Son', 'Bohyung Han']",,,-20.607,Object Localization based on Structural SVM using Privileged Information
24,"[{'AfId': 177725633, 'AuN': 'zhenyao zhu', 'AfN': 'the chinese university of hong kong', 'AuId': 2484010469}, {'AfId': 177725633, 'AuN': 'ping luo', 'AfN': 'the chinese university of hong kong', 'AuId': 2702051385}, {'AfId': 177725633, 'AuN': 'xiaogang wang', 'AfN': 'the chinese university of hong kong', 'AuId': 2227253382}, {'AfId': 177725633, 'AuN': 'xiaoou tang', 'AfN': 'the chinese university of hong kong', 'AuId': 2166284823}]",94.0,2131024102.0,multi view perceptron a deep model for learning face identity and view representations,2014.0,"['Zhenyao Zhu', 'Ping Luo', 'Xiaogang Wang', 'Xiaoou Tang']",,,-18.769,Multi-View Perceptron: a Deep Model for Learning Face Identity and View Representations
25,"[{'AfId': 63966007, 'AuN': 'daniel zoran', 'AfN': 'massachusetts institute of technology', 'AuId': 2584927184}, {'AfId': 63966007, 'AuN': 'dilip krishnan', 'AfN': 'massachusetts institute of technology', 'AuId': 2280568408}, {'AfId': 103531236, 'AuN': 'jose bento', 'AfN': 'boston college', 'AuId': 2302626664}, {'AfId': 63966007, 'AuN': 'bill freeman', 'AfN': 'massachusetts institute of technology', 'AuId': 2798314417}]",6.0,2116259724.0,shape and illumination from shading using the generic viewpoint assumption,2014.0,"['Daniel Zoran', 'Dilip Krishnan', 'Jose Bento', 'Bill Freeman']",,,-20.761,Shape and Illumination from Shading using the Generic Viewpoint Assumption
26,"[{'AfId': 63966007, 'AuN': 'jason chang', 'AfN': 'massachusetts institute of technology', 'AuId': 1992696183}, {'AfId': 63966007, 'AuN': 'john w fisher', 'AfN': 'massachusetts institute of technology', 'AuId': 2133604857}]",5.0,2113037082.0,parallel sampling of hdps using sub cluster splits,2014.0,"['Jason Chang', 'John W. Fisher III']",,,-20.339,Parallel Sampling of HDPs using Sub-Cluster Splits
27,"[{'AfId': 35440088, 'AuN': 'josip djolonga', 'AfN': 'eth zurich', 'AuId': 34490060}, {'AfId': 35440088, 'AuN': 'andreas krause', 'AfN': 'eth zurich', 'AuId': 2165121431}]",23.0,2147716762.0,from map to marginals variational inference in bayesian submodular models,2014.0,"['Josip Djolonga', 'Andreas Krause']",,,-19.754,From MAP to Marginals: Variational Inference in Bayesian Submodular Models
28,"[{'AfId': 95457486, 'AuN': 'jiashi feng', 'AfN': 'university of california berkeley', 'AuId': 2722649746}, {'AfId': 165932596, 'AuN': 'huan xu', 'AfN': 'national university of singapore', 'AuId': 2139723518}, {'AfId': 174306211, 'AuN': 'shie mannor', 'AfN': 'technion israel institute of technology', 'AuId': 2252608274}, {'AfId': 165932596, 'AuN': 'shuicheng yan', 'AfN': 'national university of singapore', 'AuId': 2144833106}]",6.0,2159294971.0,robust logistic regression and classification,2014.0,"['Jiashi Feng', 'Huan Xu', 'Shie Mannor', 'Shuicheng Yan']",,,-20.452,Robust Logistic Regression and Classification
29,"[{'AfId': 126307644, 'AuN': 'tianbao yang', 'AfN': 'university of iowa', 'AuId': 2151859571}, {'AfId': 87216513, 'AuN': 'rong jin', 'AfN': 'michigan state university', 'AuId': 2142724104}]",1.0,2168792883.0,extracting certainty from uncertainty transductive pairwise classification from pairwise similarities,2014.0,"['Tianbao Yang', 'Rong Jin']",,,-21.325,Extracting Certainty from Uncertainty: Transductive Pairwise Classification from Pairwise Similarities
30,"[{'AfId': 110883965, 'AuN': 'sung ju hwang', 'AfN': 'disney research', 'AuId': 2558262142}, {'AfId': 110883965, 'AuN': 'leonid sigal', 'AfN': 'disney research', 'AuId': 2407455571}]",16.0,2141418759.0,a unified semantic embedding relating taxonomies and attributes,2014.0,"['Sung Ju Hwang', 'Leonid Sigal']",,,-20.528,A Unified Semantic Embedding: Relating Taxonomies and Attributes
31,"[{'AfId': 161318765, 'AuN': 'elias bareinboim', 'AfN': 'university of california los angeles', 'AuId': 237352020}, {'AfId': 161318765, 'AuN': 'judea pearl', 'AfN': 'university of california los angeles', 'AuId': 2248165042}]",11.0,2105897901.0,transportability from multiple environments with limited experiments completeness results,2014.0,"['Elias Bareinboim', 'Judea Pearl']",,,-19.842,Transportability from Multiple Environments with Limited Experiments: Completeness Results
32,"[{'AfId': 154425047, 'AuN': 'siamak ravanbakhsh', 'AfN': 'university of alberta', 'AuId': 2052072531}, {'AfId': 154425047, 'AuN': 'reihaneh rabbany', 'AfN': 'university of alberta', 'AuId': 1904584114}, {'AfId': 154425047, 'AuN': 'russell greiner', 'AfN': 'university of alberta', 'AuId': 2019637813}]",3.0,2145935606.0,augmentative message passing for traveling salesman problem and graph partitioning,2014.0,"['Siamak Ravanbakhsh', 'Reihaneh Rabbany', 'Russell Greiner']",,,-21.556,Augmentative Message Passing for Traveling Salesman Problem and Graph Partitioning
