,AA,CC,Id,Ti,Y,authors,error,json,logprob,paper
0,"[{'AfId': 95457486, 'AuN': 'nihar b shah', 'AfN': 'university of california berkeley', 'AuId': 2116323195}, {'AfId': 1290206253, 'AuN': 'denny zhou', 'AfN': 'microsoft', 'AuId': 2575631028}]",25.0,1839367233.0,double or nothing multiplicative incentive mechanisms for crowdsourcing,2016.0,"['Nihar Bhadresh Shah', 'Denny Zhou']",,,-19.193,Double or Nothing: Multiplicative Incentive Mechanisms for Crowdsourcing
1,"[{'AfId': 118347636, 'AuN': 'brendan van rooyen', 'AfN': 'australian national university', 'AuId': 1990510348}, {'AfId': 118347636, 'AuN': 'aditya krishna menon', 'AfN': 'australian national university', 'AuId': 2107302653}, {'AfId': 118347636, 'AuN': 'robert c williamson', 'AfN': 'australian national university', 'AuId': 2122328552}]",16.0,2291073016.0,learning with symmetric label noise the importance of being unhinged,2015.0,"['Brendan van Rooyen', 'Aditya Menon', 'Robert C. Williamson']",,,-20.012,Learning with Symmetric Label Noise: The Importance of Being Unhinged
2,"[{'AfId': 71920554, 'AuN': 'ibrahim m alabdulmohsin', 'AfN': 'king abdullah university of science and technology', 'AuId': 717680490}]",4.0,2188409822.0,algorithmic stability and uniform generalization,2015.0,['Ibrahim M. Alabdulmohsin'],,,-20.908,Algorithmic Stability and Uniform Generalization
3,"[{'AfId': 63966007, 'AuN': 'theodoros tsiligkaridis', 'AfN': 'massachusetts institute of technology', 'AuId': 300238482}, {'AfId': 63966007, 'AuN': 'keith w forsythe', 'AfN': 'massachusetts institute of technology', 'AuId': 2097850213}]",2.0,1640890334.0,adaptive low complexity sequential inference for dirichlet process mixture models,2015.0,"['Theodoros Tsiligkaridis', 'Theodoros Tsiligkaridis', 'Keith Forsythe']",,,-20.732,Adaptive Low-Complexity Sequential Inference for Dirichlet Process Mixture Models
4,"[{'AfId': 98677209, 'AuN': 'xiaocheng shang', 'AfN': 'university of edinburgh', 'AuId': 2170160710}, {'AfId': 98677209, 'AuN': 'zhanxing zhu', 'AfN': 'university of edinburgh', 'AuId': 2224928135}, {'AfId': 98677209, 'AuN': 'benedict leimkuhler', 'AfN': 'university of edinburgh', 'AuId': 2295911066}, {'AfId': 98677209, 'AuN': 'amos j storkey', 'AfN': 'university of edinburgh', 'AuId': 1549069270}]",12.0,1851125123.0,covariance controlled adaptive langevin thermostat for large scale bayesian sampling,2015.0,"['Xiaocheng Shang', 'Zhanxing Zhu', 'Benedict Leimkuhler', 'Amos J. Storkey']",,,-20.556,Covariance-Controlled Adaptive Langevin Thermostat for Large-Scale Bayesian Sampling
5,"[{'AfId': 20089843, 'AuN': 'john m mulvey', 'AfN': 'princeton university', 'AuId': 2102319059}, {'AfId': 20089843, 'AuN': 'robert j vanderbei', 'AfN': 'princeton university', 'AuId': 160571302}, {'AfId': 34771391, 'AuN': 'stavros a zenios', 'AfN': 'university of cyprus', 'AuId': 698989695}]",1717.0,2127331687.0,robust optimization of large scale systems,1995.0,"['Huitong Qiu', 'Fang Han', 'Han Liu', 'Brian Caffo']",,,-17.46,Robust Portfolio Optimization
6,"[{'AfId': 36672615, 'AuN': 'anna choromanska', 'AfN': 'courant institute of mathematical sciences', 'AuId': 1988519498}, {'AfId': 1290206253, 'AuN': 'john langford', 'AfN': 'microsoft', 'AuId': 2665549157}]",31.0,2106854428.0,logarithmic time online multiclass prediction,2015.0,"['Anna E. Choromanska', 'John Langford']",,,-19.097,Logarithmic Time Online Multiclass prediction
7,"[{'AfId': 204250578, 'AuN': 'julian yarkony', 'AfN': 'university of california irvine', 'AuId': 131925691}, {'AfId': 204250578, 'AuN': 'charless c fowlkes', 'AfN': 'university of california irvine', 'AuId': 263994822}]",7.0,2187862592.0,planar ultrametrics for image segmentation,2015.0,"['Julian E. Yarkony', 'Charless Fowlkes']",,,-20.407,Planar Ultrametrics for Image Segmentation
8,"[{'AfId': 139264467, 'AuN': 'cesc chunseong park', 'AfN': 'seoul national university', 'AuId': 2557241568}, {'AfId': 139264467, 'AuN': 'gunhee kim', 'AfN': 'seoul national university', 'AuId': 2210743192}]",17.0,2183386595.0,expressing an image stream with a sequence of natural sentences,2015.0,"['Cesc C. Park', 'Gunhee Kim']",,,-20.072,Expressing an Image Stream with a Sequence of Natural Sentences
9,"[{'AfId': 95457486, 'AuN': 'xinghao pan', 'AfN': 'university of california berkeley', 'AuId': 2159742009}, {'AfId': 95457486, 'AuN': 'dimitris s papailiopoulos', 'AfN': 'university of california berkeley', 'AuId': 261369453}, {'AfId': 95457486, 'AuN': 'samet oymak', 'AfN': 'university of california berkeley', 'AuId': 1915759842}, {'AfId': 95457486, 'AuN': 'benjamin recht', 'AfN': 'university of california berkeley', 'AuId': 2018227268}, {'AfId': 95457486, 'AuN': 'kannan ramchandran', 'AfN': 'university of california berkeley', 'AuId': 2205924584}, {'AfId': 95457486, 'AuN': 'michael i jordan', 'AfN': 'university of california berkeley', 'AuId': 2435751034}]",22.0,927681281.0,parallel correlation clustering on big graphs,2015.0,"['Xinghao Pan', 'Dimitris Papailiopoulos', 'Samet Oymak', 'Benjamin Recht', 'Kannan Ramchandran', 'Michael I. Jordan']",,,-19.263,Parallel Correlation Clustering on Big Graphs
