,AA,CC,Id,Ti,Y,authors,error,json,logprob,paper
0,"[{'AfId': 45129253, 'AuN': 'zhen he', 'AfN': 'university college london', 'AuId': 2753253015}, {'AfId': 24185976, 'AuN': 'shaobing gao', 'AfN': 'sichuan university', 'AuId': 2130480640}, {'AfId': 170215575, 'AuN': 'liang xiao', 'AfN': 'national university of defense technology', 'AuId': 2752380867}, {'AfId': 45129253, 'AuN': 'david barber', 'AfN': 'university college london', 'AuId': 2524043411}]",1.0,2752379147.0,wider and deeper cheaper and faster tensorized lstms for sequence learning,2017.0,"['Zhen He', 'Shaobing Gao', 'Liang Xiao', 'Daxue Liu', 'Hangen He', 'David Barber']",,,-21.673,"Wider and Deeper, Cheaper and Faster: Tensorized LSTMs for Sequence Learning"
1,"[{'AfId': 63966007, 'AuN': 'constantinos daskalakis', 'AfN': 'massachusetts institute of technology', 'AuId': 2090235954}, {'AfId': 63966007, 'AuN': 'nishanth dikkala', 'AfN': 'massachusetts institute of technology', 'AuId': 2564700053}, {'AfId': 63966007, 'AuN': 'gautam kamath', 'AfN': 'massachusetts institute of technology', 'AuId': 2171967840}]",2.0,2751534929.0,concentration of multilinear functions of the ising model with applications to network data,2017.0,"['Constantinos Daskalakis', 'Nishanth Dikkala', 'Gautam Kamath']",,,-20.435,Concentration of Multilinear Functions of the Ising Model with Applications to Network Data
2,"[{'AfId': 102322142, 'AuN': 'mahdi abavisani', 'AfN': 'rutgers university', 'AuId': 2614026913}, {'AfId': 102322142, 'AuN': 'vishal m patel', 'AfN': 'rutgers university', 'AuId': 2118029367}]",0.0,2797653144.0,deep multimodal subspace clustering networks,2018.0,"['Pan Ji', 'Tong Zhang', 'Hongdong Li', 'Mathieu Salzmann', 'Ian Reid']",,,-21.624,Deep Subspace Clustering Networks
3,"[{'AfId': 74973139, 'AuN': 'rohit girdhar', 'AfN': 'carnegie mellon university', 'AuId': 2322504504}, {'AfId': 74973139, 'AuN': 'deva ramanan', 'AfN': 'carnegie mellon university', 'AuId': 2770459152}]",3.0,2752386593.0,attentional pooling for action recognition,2017.0,"['Rohit Girdhar', 'Deva Ramanan']",,,-21.408,Attentional Pooling for Action Recognition
4,"[{'AfId': 1291425158, 'AuN': 'heinrich jiang', 'AfN': 'google', 'AuId': 2422564366}]",0.0,2751193812.0,on the consistency of quick shift,2017.0,['Heinrich Jiang'],,,-22.533,On the Consistency of Quick Shift
5,"[{'AfId': 95457486, 'AuN': 'fabian pedregosa', 'AfN': 'university of california berkeley', 'AuId': 2606601057}, {'AfId': 1326498283, 'AuN': 'remi leblond', 'AfN': 'french institute for research in computer science and automation', 'AuId': 2434326481}, {'AfId': 29607241, 'AuN': 'simon lacostejulien', 'AfN': 'ecole normale superieure', 'AuId': 2302858353}]",0.0,2737665727.0,breaking the nonsmooth barrier a scalable parallel method for composite optimization,2017.0,"['Fabian Pedregosa', 'Rémi Leblond', 'Simon Lacoste-Julien']",,,-21.324,Breaking the Nonsmooth Barrier: A Scalable Parallel Method for Composite Optimization
6,"[{'AfId': 165932596, 'AuN': 'jian zhao', 'AfN': 'national university of singapore', 'AuId': 2584849767}, {'AfId': 1283155146, 'AuN': 'lin xiong', 'AfN': 'panasonic', 'AuId': 2604544752}, {'AfId': 1283155146, 'AuN': 'panasonic karlekar jayashree', 'AfN': 'panasonic', 'AuId': 2753854510}, {'AfId': 165932596, 'AuN': 'jianshu li', 'AfN': 'national university of singapore', 'AuId': 2229641179}, {'AfId': 165932596, 'AuN': 'fang zhao', 'AfN': 'national university of singapore', 'AuId': 2694717899}, {'AfId': 137428128, 'AuN': 'zhecan wang', 'AfN': 'franklin w olin college of engineering', 'AuId': 2738145970}, {'AfId': 1283155146, 'AuN': 'panasonic sugiri pranata', 'AfN': 'panasonic', 'AuId': 2752730950}, {'AfId': 1283155146, 'AuN': 'panasonic shengmei shen', 'AfN': 'panasonic', 'AuId': 2753102995}, {'AfId': 165932596, 'AuN': 'jiashi feng', 'AfN': 'national university of singapore', 'AuId': 2170351238}]",0.0,2753407461.0,dual agent gans for photorealistic and identity preserving profile face synthesis,2017.0,"['Jian Zhao', 'Lin Xiong', 'Panasonic Karlekar Jayashree', 'Jianshu Li', 'Fang Zhao', 'Zhecan Wang', 'Panasonic Sugiri Pranata', 'Panasonic Shengmei Shen', 'Shuicheng Yan', 'Jiashi Feng']",,,-21.345,Dual-Agent GANs for Photorealistic and Identity Preserving Profile Face Synthesis
7,"[{'AfId': 1341412227, 'AuN': 'shiyu chang', 'AfN': 'ibm', 'AuId': 2098291119}, {'AfId': 1341412227, 'AuN': 'yang zhang', 'AfN': 'ibm', 'AuId': 2677264140}, {'AfId': 157725225, 'AuN': 'wei han', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2676516950}, {'AfId': 145311948, 'AuN': 'mo yu', 'AfN': 'johns hopkins university', 'AuId': 2753713716}, {'AfId': 1341412227, 'AuN': 'xiaoxiao guo', 'AfN': 'ibm', 'AuId': 2751364728}, {'AfId': 1341412227, 'AuN': 'wei tan', 'AfN': 'ibm', 'AuId': 2753501835}, {'AuN': 'xiaodong cui', 'AuId': 2752222384}, {'AfId': 1341412227, 'AuN': 'michael j witbrock', 'AfN': 'ibm', 'AuId': 2494595533}, {'AfId': 157725225, 'AuN': 'mark hasegawajohnson', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2234370517}, {'AfId': 157725225, 'AuN': 'thomas s huang', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2149631809}]",5.0,2750814024.0,dilated recurrent neural networks,2017.0,"['Shiyu Chang', 'Yang Zhang', 'Wei Han', 'Mo Yu', 'Xiaoxiao Guo', 'Wei Tan', 'Xiaodong Cui', 'Michael Witbrock', 'Mark A. Hasegawa-Johnson', 'Thomas S. Huang']",,,-19.804,Dilated Recurrent Neural Networks
8,"[{'AfId': 130238516, 'AuN': 'saurabh verma', 'AfN': 'university of minnesota', 'AuId': 2477595350}, {'AfId': 130238516, 'AuN': 'zhi li zhang', 'AfN': 'university of minnesota', 'AuId': 2164420873}]",0.0,2750821778.0,hunt for the unique stable sparse and fast feature learning on graphs,2017.0,"['Saurabh Verma', 'Zhi-Li Zhang']",,,-21.002,"Hunt For The Unique, Stable, Sparse And Fast Feature Learning On Graphs"
9,"[{'AfId': 135310074, 'AuN': 'kwangsung jun', 'AfN': 'university of wisconsin madison', 'AuId': 2131334684}, {'AfId': 135310074, 'AuN': 'aniruddha bhargava', 'AfN': 'university of wisconsin madison', 'AuId': 2106183115}, {'AfId': 135310074, 'AuN': 'robert d nowak', 'AfN': 'university of wisconsin madison', 'AuId': 2137015694}, {'AfId': 135310074, 'AuN': 'rebecca willett', 'AfN': 'university of wisconsin madison', 'AuId': 1998613371}]",2.0,2621143418.0,scalable generalized linear bandits online computation and hashing,2017.0,"['Kwang-Sung Jun', 'Aniruddha Bhargava', 'Robert Nowak', 'Rebecca Willett']",,,-20.886,Scalable Generalized Linear Bandits: Online Computation and Hashing
